date,trailName,bike,pedestrian,id
9/27/2020 6:00,Fremont Bridge,18,,1
9/27/2020 7:00,Fremont Bridge,45,,1
9/27/2020 8:00,Fremont Bridge,92,,1
9/27/2020 9:00,Fremont Bridge,145,,1
9/27/2020 10:00,Fremont Bridge,190,,1
9/27/2020 11:00,Fremont Bridge,261,,1
9/27/2020 12:00,Fremont Bridge,287,,1
9/27/2020 13:00,Fremont Bridge,305,,1
9/27/2020 14:00,Fremont Bridge,297,,1
9/27/2020 15:00,Fremont Bridge,329,,1
9/27/2020 16:00,Fremont Bridge,307,,1
9/27/2020 17:00,Fremont Bridge,250,,1
9/27/2020 18:00,Fremont Bridge,193,,1
9/27/2020 19:00,Fremont Bridge,88,,1
9/27/2020 20:00,Fremont Bridge,0,,1
9/27/2020 21:00,Fremont Bridge,36,,1
9/27/2020 22:00,Fremont Bridge,11,,1
9/27/2020 23:00,Fremont Bridge,11,,1
9/28/2020 0:00,Fremont Bridge,4,,1
9/28/2020 1:00,Fremont Bridge,0,,1
9/28/2020 2:00,Fremont Bridge,2,,1
9/28/2020 3:00,Fremont Bridge,0,,1
9/28/2020 4:00,Fremont Bridge,3,,1
9/28/2020 5:00,Fremont Bridge,27,,1
9/28/2020 6:00,Fremont Bridge,57,,1
9/28/2020 7:00,Fremont Bridge,165,,1
9/28/2020 8:00,Fremont Bridge,175,,1
9/28/2020 9:00,Fremont Bridge,137,,1
9/28/2020 10:00,Fremont Bridge,83,,1
9/28/2020 11:00,Fremont Bridge,97,,1
9/28/2020 12:00,Fremont Bridge,140,,1
9/28/2020 13:00,Fremont Bridge,130,,1
9/28/2020 14:00,Fremont Bridge,175,,1
9/28/2020 15:00,Fremont Bridge,205,,1
9/28/2020 16:00,Fremont Bridge,284,,1
9/28/2020 17:00,Fremont Bridge,405,,1
9/28/2020 18:00,Fremont Bridge,324,,1
9/28/2020 19:00,Fremont Bridge,155,,1
9/28/2020 20:00,Fremont Bridge,57,,1
9/28/2020 21:00,Fremont Bridge,40,,1
9/28/2020 22:00,Fremont Bridge,21,,1
9/28/2020 23:00,Fremont Bridge,6,,1
9/29/2020 0:00,Fremont Bridge,5,,1
9/29/2020 1:00,Fremont Bridge,0,,1
9/29/2020 2:00,Fremont Bridge,1,,1
9/29/2020 3:00,Fremont Bridge,1,,1
9/29/2020 4:00,Fremont Bridge,5,,1
9/29/2020 5:00,Fremont Bridge,20,,1
9/29/2020 6:00,Fremont Bridge,71,,1
9/29/2020 7:00,Fremont Bridge,188,,1
9/29/2020 8:00,Fremont Bridge,215,,1
9/29/2020 9:00,Fremont Bridge,145,,1
9/29/2020 10:00,Fremont Bridge,86,,1
9/29/2020 11:00,Fremont Bridge,129,,1
9/29/2020 12:00,Fremont Bridge,175,,1
9/29/2020 13:00,Fremont Bridge,161,,1
9/29/2020 14:00,Fremont Bridge,150,,1
9/29/2020 15:00,Fremont Bridge,197,,1
9/29/2020 16:00,Fremont Bridge,339,,1
9/29/2020 17:00,Fremont Bridge,482,,1
9/29/2020 18:00,Fremont Bridge,268,,1
9/29/2020 19:00,Fremont Bridge,154,,1
9/29/2020 20:00,Fremont Bridge,71,,1
9/29/2020 21:00,Fremont Bridge,40,,1
9/29/2020 22:00,Fremont Bridge,22,,1
9/29/2020 23:00,Fremont Bridge,14,,1
9/30/2020 0:00,Fremont Bridge,6,,1
9/30/2020 1:00,Fremont Bridge,5,,1
9/30/2020 2:00,Fremont Bridge,1,,1
9/30/2020 3:00,Fremont Bridge,0,,1
9/30/2020 4:00,Fremont Bridge,6,,1
9/30/2020 5:00,Fremont Bridge,22,,1
9/30/2020 6:00,Fremont Bridge,69,,1
9/30/2020 7:00,Fremont Bridge,196,,1
9/30/2020 8:00,Fremont Bridge,193,,1
9/30/2020 9:00,Fremont Bridge,137,,1
9/30/2020 10:00,Fremont Bridge,89,,1
9/30/2020 11:00,Fremont Bridge,89,,1
9/30/2020 12:00,Fremont Bridge,107,,1
9/30/2020 13:00,Fremont Bridge,127,,1
9/30/2020 14:00,Fremont Bridge,146,,1
9/30/2020 15:00,Fremont Bridge,169,,1
9/30/2020 16:00,Fremont Bridge,248,,1
